Priorité,Entreprise,Département,Fonction Cible,Description Poste,Lien Recherche LinkedIn,Localisation Prioritaire,Salaire Estimé,Statut Contact,Date Prise Contact,Follow-up 1,Follow-up 2,Notes
P1,LVMH,HR & Recrutement,Head of Recruitment LVMH,Directeur Recrutement groupe LVMH,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Recruitment%20LVMH&origin=GLOBAL_SEARCH_HEADER,Paris - HQ,€140k,A Contacter,,,Commencer par eux
P1,LVMH,HR & Recrutement,VP Talent LVMH,Vice-Président Talent & Recrutement,https://www.linkedin.com/search/results/people/?keywords=VP%20Talent%20LVMH&origin=GLOBAL_SEARCH_HEADER,Paris,€160k,A Contacter,,,Niveau C-suite
P1,LVMH,Retail,Regional Director LVMH Asia,Directeur Régional Asie,https://www.linkedin.com/search/results/people/?keywords=Regional%20Director%20LVMH%20Asia&origin=GLOBAL_SEARCH_HEADER,Shanghai/Singapour,€150k,A Contacter,,,Expansion prioritaire
P1,LVMH,Retail,Store Manager Louis Vuitton,Directeur Boutique,https://www.linkedin.com/search/results/people/?keywords=Store%20Manager%20Louis%20Vuitton&origin=GLOBAL_SEARCH_HEADER,Paris/Shanghai/Dubai,€100k,A Contacter,,,Volume important
P1,LVMH,Digital,Head of E-Commerce LVMH,Directeur E-Commerce,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20E-Commerce%20LVMH&origin=GLOBAL_SEARCH_HEADER,Paris,€130k,A Contacter,,,Secteur prioritaire
P1,LVMH,Supply Chain,Head of Supply Chain LVMH,Directeur Supply Chain,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Supply%20Chain%20LVMH&origin=GLOBAL_SEARCH_HEADER,Paris,€140k,A Contacter,,,Récupération post-crise
P1,Kering,HR & Recrutement,VP People Kering,Vice-Président Ressources Humaines,https://www.linkedin.com/search/results/people/?keywords=VP%20People%20Kering&origin=GLOBAL_SEARCH_HEADER,Paris,€150k,A Contacter,,,Groupe competing LVMH
P1,Kering,HR & Recrutement,Head of Recruitment Kering,Directeur Recrutement,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Recruitment%20Kering&origin=GLOBAL_SEARCH_HEADER,Paris,€120k,A Contacter,,,Focus Gucci/Saint Laurent
P1,Kering,Retail,Regional Director Kering Asia,Directeur Régional Asie,https://www.linkedin.com/search/results/people/?keywords=Regional%20Director%20Kering%20Asia&origin=GLOBAL_SEARCH_HEADER,Shanghai/Hong Kong,€140k,A Contacter,,,Croissance urgente
P1,Kering,Marques Luxe,Head of Talent Gucci,Recrutement Gucci,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Talent%20Gucci&origin=GLOBAL_SEARCH_HEADER,Milan/Paris,€130k,A Contacter,,,Maison clé
P1,Kering,Marques Luxe,Head of Recruitment Saint Laurent,Recrutement Saint Laurent,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Recruitment%20Saint%20Laurent&origin=GLOBAL_SEARCH_HEADER,Paris,€125k,A Contacter,,,Croissance +7-9%
P1,Hermès,HR & Recrutement,Head of HR Hermès,Directeur RH,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20HR%20Hermès&origin=GLOBAL_SEARCH_HEADER,Paris,€135k,A Contacter,,,Entreprise familiale
P1,Hermès,Retail,Store Manager Hermès,Directeur Boutique,https://www.linkedin.com/search/results/people/?keywords=Store%20Manager%20Hermès&origin=GLOBAL_SEARCH_HEADER,Paris/Singapour/Dubai,€110k,A Contacter,,,Expansion + prestige
P1,Hermès,Expansion,VP Expansion Hermès,VP Développement Boutiques,https://www.linkedin.com/search/results/people/?keywords=VP%20Expansion%20Hermès&origin=GLOBAL_SEARCH_HEADER,Paris,€145k,A Contacter,,,Croissance +7-9%
